U+1F34E	red_apple
U+1F34F	green_apple
U+1F350	pear
U+1F351	peach
U+1F352	cherries
U+1F353	strawberry
U+1F354	hamburger
U+1F355	pizza
U+1F356	meat_on_bone
U+1F357	poultry_leg
U+1F358	rice_cracker
U+1F359	rice_ball
U+1F35A	cooked_rice
U+1F35B	curry_rice
U+1F35C	steaming_bowl
U+1F35D	spaghetti
U+1F35E	bread
U+1F35F	french_fries
U+1F360	roasted_sweet_potato
U+1F361	dango
U+1F362	oden
U+1F363	sushi
U+1F364	fried_shrimp
U+1F365	fish_cake_with_swirl
U+1F366	soft_ice_cream
U+1F367	shaved_ice
U+1F368	ice_cream
U+1F369	doughnut
U+1F36A	cookie
U+1F36B	chocolate_bar
U+1F36C	candy
U+1F36D	lollipop
U+1F36E	custard
U+1F36F	honey_pot
U+1F370	shortcake
U+1F371	bento_box
U+1F372	pot_of_food
U+1F373	cooking
U+1F374	fork_and_knife
U+1F375	teacup_without_handle
U+1F376	sake
U+1F377	wine_glass
U+1F378	cocktail_glass
U+1F379	tropical_drink
U+1F37A	beer_mug
U+1F37B	clinking_beer_mugs
U+1F37C	baby_bottle
U+1F37D	fork_and_knife_with_plate
U+1F37E	bottle_with_popping_cork
U+1F37F	popcorn
U+1F380	ribbon
U+1F381	wrapped_gift
U+1F382	birthday_cake
U+1F383	jack_o_lantern
U+1F384	christmas_tree
U+1F385	santa_claus
U+1F386	fireworks
U+1F387	sparkler
U+1F388	balloon
U+1F389	party_popper
U+1F38A	confetti_ball
U+1F38B	tanabata_tree
U+1F38C	crossed_flags
U+1F38D	pine_decoration
U+1F38E	japanese_dolls
U+1F38F	carp_streamer
U+1F390	wind_chime
U+1F391	moon_viewing_ceremony
U+1F392	backpack
U+1F393	graduation_cap
U+1F396	military_medal
U+1F397	reminder_ribbon
U+1F399	studio_microphone
U+1F39A	level_slider
U+1F39B	control_knobs
U+1F39E	film_frames
U+1F39F	admission_tickets
U+1F3A0	carousel_horse
U+1F3A1	ferris_wheel
U+1F3A2	roller_coaster
U+1F3A3	fishing_pole
U+1F3A4	microphone
U+1F3A5	movie_camera
U+1F3A6	cinema
U+1F3A7	headphone
U+1F3A8	artist_palette
U+1F3A9	top_hat
U+1F3AA	circus_tent
U+1F3AB	ticket
U+1F3AC	clapper_board
U+1F3AD	performing_arts
U+1F3AE	video_game
U+1F3AF	bullseye
U+1F3B0	slot_machine
U+1F3B1	pool_8_ball
U+1F3B2	game_die
U+1F3B3	bowling
U+1F3B4	flower_playing_cards
U+1F3B5	musical_note
U+1F3B6	musical_notes
U+1F3B7	saxophone
U+1F3B8	guitar
U+1F3B9	musical_keyboard
U+1F3BA	trumpet
U+1F3BB	violin
U+1F3BC	musical_score
U+1F3BD	running_shirt
U+1F3BE	tennis
U+1F3BF	skis
U+1F3C0	basketball
U+1F3C1	chequered_flag
U+1F3C2	snowboarder
U+1F3C3	person_running
U+1F3C4	person_surfing
U+1F3C5	sports_medal
U+1F3C6	trophy
U+1F3C7	horse_racing
U+1F3C8	american_football
U+1F3C9	rugby_football
U+1F3CA	person_swimming
U+1F3CB	person_lifting_weights
U+1F3CC	person_golfing
U+1F3CD	motorcycle
U+1F3CE	racing_car
U+1F3CF	cricket_game
U+1F3D0	volleyball
U+1F3D1	field_hockey
U+1F3D2	ice_hockey
U+1F3D3	ping_pong
U+1F3D4	snow_capped_mountain
U+1F3D5	camping
U+1F3D6	beach_with_umbrella
U+1F3D7	building_construction
U+1F3D8	houses
U+1F3D9	cityscape
U+1F3DA	derelict_house
U+1F3DB	classical_building
U+1F3DC	desert
U+1F3DD	desert_island
U+1F3DE	national_park
U+1F3DF	stadium
U+1F3E0	house
U+1F3E1	house_with_garden
U+1F3E2	office_building
U+1F3E3	japanese_post_office
U+1F3E4	post_office
U+1F3E5	hospital
U+1F3E6	bank
U+1F3E7	atm_sign
U+1F3E8	hotel
U+1F3E9	love_hotel
U+1F3EA	convenience_store
